['601', '600', '599', '564', '529', '528', '493', '492', '527', '492', '493', '528', '529', '530', '531', '532', '497', '496', '497']
['497', '529', '527', '531', '601', '497', '529', '530', '564', '492', '493', '600', '492', '528', '599', '532', '496', '528', '493']
['564', '497', '529', '497', '492', '599', '529', '600', '532', '530', '528', '528', '601', '527', '492', '493', '496', '531', '493']
['531', '599', '529', '493', '493', '530', '532', '528', '529', '497', '564', '492', '600', '601', '497', '496', '528', '527', '492']
['532', '528', '493', '601', '528', '497', '497', '492', '492', '496', '564', '600', '493', '527', '531', '530', '599', '529', '529']
['532', '564', '530', '531', '529', '496', '528', '528', '497', '493', '492', '529', '599', '600', '527', '492', '493', '601', '497']
['601', '493', '600', '528', '528', '530', '497', '531', '493', '497', '532', '492', '496', '564', '529', '492', '599', '527', '529']
['530', '496', '492', '601', '497', '493', '528', '599', '528', '497', '532', '493', '531', '527', '600', '492', '564', '529', '529']
['601', '532', '564', '528', '600', '529', '530', '599', '492', '493', '527', '493', '528', '531', '496', '529', '492', '497', '497']
['492', '527', '529', '497', '599', '493', '531', '601', '492', '564', '532', '493', '529', '528', '528', '497', '530', '600', '496']
['612', '611', '612', '577', '542', '507', '506', '471', '470', '435', '470', '469', '468', '469', '470', '435', '470', '505', '540']
['611', '469', '435', '470', '471', '612', '612', '507', '469', '468', '505', '470', '470', '435', '506', '540', '542', '470', '577']
['470', '435', '507', '612', '506', '469', '611', '468', '469', '540', '542', '471', '577', '470', '470', '505', '435', '470', '612']
['435', '471', '612', '469', '470', '469', '542', '468', '506', '505', '470', '507', '611', '612', '470', '435', '577', '470', '540']
['612', '471', '577', '542', '470', '505', '612', '468', '611', '470', '507', '506', '469', '435', '540', '470', '469', '435', '470']
['470', '470', '577', '540', '542', '470', '468', '506', '435', '471', '505', '469', '435', '507', '612', '611', '469', '612', '470']
['507', '470', '505', '470', '540', '471', '542', '469', '435', '577', '506', '469', '470', '612', '611', '468', '612', '435', '470']
['505', '435', '435', '506', '470', '542', '468', '471', '612', '470', '612', '470', '507', '577', '469', '540', '469', '470', '611']
['468', '471', '577', '506', '470', '435', '505', '470', '611', '435', '470', '542', '540', '469', '469', '470', '612', '507', '612']
['577', '471', '435', '612', '540', '612', '468', '470', '505', '611', '506', '507', '470', '470', '435', '542', '469', '470', '469']
['753', '754', '719', '684', '719', '720', '721', '720', '685', '720', '719', '684', '719', '684', '649', '648', '613', '614', '579']
['721', '719', '614', '754', '649', '720', '720', '579', '720', '684', '648', '684', '753', '684', '685', '719', '719', '719', '613']
['720', '721', '719', '684', '684', '720', '614', '648', '684', '719', '720', '579', '719', '685', '613', '753', '649', '719', '754']
['685', '648', '719', '614', '754', '613', '719', '719', '720', '720', '579', '684', '649', '720', '721', '684', '719', '753', '684']
['579', '719', '684', '720', '613', '648', '754', '720', '649', '719', '721', '614', '719', '719', '685', '720', '753', '684', '684']
['648', '720', '684', '719', '753', '579', '614', '719', '684', '720', '613', '720', '685', '649', '719', '754', '721', '684', '719']
['720', '754', '649', '579', '684', '753', '720', '684', '685', '719', '648', '719', '613', '719', '721', '614', '684', '720', '719']
['685', '648', '719', '614', '613', '754', '720', '720', '719', '579', '684', '719', '649', '719', '721', '753', '684', '684', '720']
['614', '579', '685', '684', '719', '613', '719', '753', '720', '649', '648', '719', '721', '684', '720', '719', '684', '754', '720']
['719', '721', '720', '579', '613', '719', '684', '720', '649', '648', '685', '614', '753', '719', '720', '684', '684', '719', '754']
['682', '647', '648', '647', '646', '611', '610', '611', '612', '611', '576', '611', '646', '681', '682', '647', '648', '649', '648']
['610', '647', '611', '682', '648', '576', '648', '682', '611', '612', '681', '646', '647', '649', '647', '611', '611', '648', '646']
['612', '610', '611', '646', '611', '646', '647', '647', '648', '611', '648', '682', '648', '576', '682', '647', '611', '681', '649']
['646', '682', '648', '647', '648', '611', '612', '682', '610', '648', '611', '576', '647', '681', '646', '649', '611', '611', '647']
['611', '647', '682', '648', '681', '611', '611', '682', '648', '649', '646', '647', '576', '610', '612', '648', '647', '611', '646']
['647', '646', '649', '682', '647', '612', '646', '611', '611', '648', '648', '611', '610', '611', '576', '647', '681', '648', '682']
['682', '576', '611', '647', '682', '646', '647', '611', '611', '681', '648', '612', '611', '647', '648', '648', '649', '646', '610']
['682', '611', '612', '648', '646', '649', '611', '610', '648', '681', '646', '647', '648', '576', '647', '611', '611', '647', '682']
['612', '682', '681', '648', '611', '647', '648', '611', '646', '647', '576', '646', '649', '610', '682', '611', '611', '648', '647']
['647', '648', '611', '649', '682', '646', '647', '611', '611', '682', '610', '612', '611', '681', '648', '646', '576', '648', '647']
['601', '566', '567', '566', '531', '566', '567', '566', '565', '564', '599', '634', '669', '668', '633', '668', '667', '666', '667']
