['2050', '2085', '2086', '2085', '2086', '2087', '2088', '2087', '2088', '2089', '2054', '2055', '2054', '2053', '2054', '2089', '2090', '2055', '2054', '2019']
['2054', '2089', '2085', '2019', '2050', '2054', '2087', '2088', '2055', '2090', '2054', '2085', '2086', '2086', '2054', '2053', '2087', '2089', '2088', '2055']
['2054', '2086', '2089', '2087', '2055', '2054', '2054', '2086', '2090', '2050', '2085', '2055', '2054', '2087', '2088', '2088', '2089', '2085', '2053', '2019']
['2090', '2055', '2088', '2085', '2086', '2054', '2085', '2087', '2019', '2088', '2054', '2050', '2089', '2054', '2054', '2087', '2053', '2086', '2055', '2089']
['2055', '2089', '2050', '2054', '2055', '2086', '2054', '2088', '2090', '2085', '2085', '2019', '2087', '2088', '2054', '2053', '2087', '2086', '2054', '2089']
['2054', '2087', '2054', '2054', '2055', '2090', '2019', '2050', '2087', '2053', '2085', '2088', '2089', '2085', '2086', '2086', '2088', '2054', '2089', '2055']
['2054', '2055', '2054', '2089', '2086', '2085', '2089', '2090', '2050', '2087', '2053', '2087', '2088', '2088', '2055', '2019', '2054', '2086', '2085', '2054']
['2089', '2088', '2054', '2055', '2089', '2088', '2054', '2085', '2086', '2053', '2085', '2054', '2054', '2086', '2087', '2019', '2090', '2055', '2087', '2050']
['2089', '2055', '2087', '2085', '2054', '2054', '2055', '2086', '2088', '2089', '2085', '2019', '2090', '2087', '2050', '2054', '2088', '2054', '2053', '2086']
['2085', '2088', '2054', '2086', '2054', '2019', '2085', '2088', '2087', '2050', '2089', '2087', '2053', '2086', '2089', '2055', '2055', '2090', '2054', '2054']
['2011', '2046', '2045', '2044', '2043', '2042', '2007', '2042', '2041', '2040', '2041', '2042', '2007', '2006', '2041', '2042', '2077', '2076', '2077', '2076']
['2007', '2042', '2040', '2006', '2043', '2076', '2076', '2042', '2011', '2041', '2044', '2045', '2041', '2077', '2041', '2007', '2077', '2042', '2042', '2046']
['2006', '2042', '2042', '2042', '2077', '2042', '2045', '2046', '2041', '2076', '2007', '2077', '2011', '2040', '2043', '2041', '2076', '2044', '2041', '2007']
['2045', '2007', '2077', '2042', '2044', '2077', '2042', '2007', '2076', '2006', '2041', '2042', '2040', '2076', '2041', '2041', '2011', '2046', '2043', '2042']
['2041', '2007', '2043', '2042', '2041', '2040', '2042', '2041', '2076', '2007', '2076', '2077', '2044', '2042', '2011', '2006', '2077', '2045', '2046', '2042']
['2077', '2042', '2044', '2041', '2076', '2046', '2042', '2042', '2040', '2041', '2042', '2041', '2043', '2077', '2006', '2007', '2011', '2007', '2076', '2045']
['2076', '2006', '2077', '2041', '2007', '2044', '2045', '2041', '2042', '2041', '2046', '2040', '2076', '2042', '2042', '2043', '2011', '2007', '2077', '2042']
['2076', '2007', '2041', '2042', '2044', '2042', '2046', '2007', '2006', '2041', '2077', '2040', '2076', '2045', '2077', '2042', '2041', '2042', '2011', '2043']
['2046', '2042', '2044', '2077', '2041', '2042', '2045', '2011', '2076', '2007', '2041', '2043', '2040', '2006', '2076', '2041', '2077', '2007', '2042', '2042']
['2045', '2041', '2007', '2046', '2043', '2042', '2044', '2006', '2077', '2077', '2011', '2076', '2042', '2007', '2042', '2040', '2076', '2041', '2042', '2041']
['2082', '2083', '2118', '2083', '2118', '2119', '2154', '2155', '2156', '2155', '2156', '2155', '2120', '2155', '2154', '2155', '2190', '2155', '2120', '2085']
['2083', '2154', '2118', '2156', '2155', '2085', '2155', '2155', '2082', '2118', '2119', '2154', '2155', '2120', '2190', '2155', '2156', '2120', '2083', '2155']
